Sample	bam_file	total_reads	mapped_reads	mapped_bases	sequenced_bases	mean_insert_size	median_insert_size	mean_mapping_quality	general_error_rate	mean_coverage	percentage_aligned
S008_BJ20190416134PTS_sort_dedup_realigned_recal	S008_BJ20190416134PTS_sort_dedup_realigned_recal.bam	364082972.0	363910718.0	26232671751.0	26229962731.0	10391.9484	154.0	57.1684	0.005	433.9065	99.95268825700533
S008_SZ20191229052PES_sort_dedup_realigned_recal	S008_SZ20191229052PES_sort_dedup_realigned_recal.bam	196515420.0	196424383.0	11511560200.0	11510341786.0	42257.7922	145.0	57.1626	0.0038	190.4092	99.95367437323748
S009102_BJ20190416149PES_sort_dedup_realigned_recal	S009102_BJ20190416149PES_sort_dedup_realigned_recal.bam	426322750.0	426076182.0	28829363008.0	28826155084.0	11425.2835	119.0	57.0116	0.0036	476.8576	99.94216400602595
S009_BJ20190416036PTS_sort_dedup_realigned_recal	S009_BJ20190416036PTS_sort_dedup_realigned_recal.bam	252249116.0	252166847.0	17393307465.0	17391663922.0	67899.5005	148.0	57.1697	0.0037	287.6973	99.96738581236495
S009_BJ20190416149PES_sort_dedup_realigned_recal	S009_BJ20190416149PES_sort_dedup_realigned_recal.bam	148437836.0	148385328.0	10467999297.0	10466892166.0	3831.0145	126.0	57.128	0.0034	173.148	99.96462626954492
S009_SZ20191229056PES_sort_dedup_realigned_recal	S009_SZ20191229056PES_sort_dedup_realigned_recal.bam	205219252.0	205120878.0	12097085378.0	12095681126.0	27515.1314	135.0	57.1196	0.0042	200.0942	99.95206395158287
S010_BJ20190416037PES_sort_dedup_realigned_recal	S010_BJ20190416037PES_sort_dedup_realigned_recal.bam	291348456.0	291253006.0	21552548523.0	21550427204.0	49683.1569	160.0	57.2249	0.0033	356.4941	99.96723854270229
S010_SZ20191229057PES_sort_dedup_realigned_recal	S010_SZ20191229057PES_sort_dedup_realigned_recal.bam	239821058.0	239731687.0	15160171326.0	15158626014.0	44049.5078	158.0	57.1882	0.0037	250.7597	99.96273429833671
S011_BJ20190416038PTS_sort_dedup_realigned_recal	S011_BJ20190416038PTS_sort_dedup_realigned_recal.bam	249253954.0	249174127.0	18333299362.0	18331479827.0	9130.083	152.0	57.2716	0.0034	303.2455	99.96797362741134
S011_SZ20200107044PES_sort_dedup_realigned_recal	S011_SZ20200107044PES_sort_dedup_realigned_recal.bam	205295200.0	205216958.0	13319232720.0	13316828483.0	16338.8373	179.0	57.2831	0.0037	220.3093	99.96188805193692
S012_BJ20190416039PES_sort_dedup_realigned_recal	S012_BJ20190416039PES_sort_dedup_realigned_recal.bam	267535322.0	267434072.0	18571218407.0	18569317735.0	80826.3148	136.0	57.0324	0.0033	307.1808	99.96215453001007
S012_SZ20191229058PES_sort_dedup_realigned_recal	S012_SZ20191229058PES_sort_dedup_realigned_recal.bam	210922970.0	210827857.0	13227809083.0	13226262788.0	94311.9173	169.0	57.1745	0.0042	218.7971	99.95490628640398
S013_BJ20190416040PTS_sort_dedup_realigned_recal	S013_BJ20190416040PTS_sort_dedup_realigned_recal.bam	275698994.0	275611930.0	20093594045.0	20091697731.0	39898.0472	158.0	57.1818	0.0031	332.3619	99.96842063195922
S014_BJ20190416041PES_sort_dedup_realigned_recal	S014_BJ20190416041PES_sort_dedup_realigned_recal.bam	317019668.0	316910561.0	23661246354.0	23658795122.0	30576.394	150.0	57.2095	0.0033	391.3734	99.96558352335414
S015_BJ20190416006PTS_sort_dedup_realigned_recal	S015_BJ20190416006PTS_sort_dedup_realigned_recal.bam	200133016.0	200028019.0	14959249181.0	14957840214.0	17330.9269	150.0	57.2084	0.0036	247.4363	99.94753639249609
S015_BJ20190416042PTS_sort_dedup_realigned_recal	S015_BJ20190416042PTS_sort_dedup_realigned_recal.bam	279166352.0	279060125.0	19769482474.0	19767634883.0	9019.322	145.0	57.2152	0.0034	327.0009	99.96194849442314
S016_BJ20190416011PES_sort_dedup_realigned_recal	S016_BJ20190416011PES_sort_dedup_realigned_recal.bam	176768684.0	176716673.0	13188569128.0	13187348843.0	26898.3561	165.0	57.2388	0.0038	218.1481	99.97057680194078
S016_BJ20190416043PES_sort_dedup_realigned_recal	S016_BJ20190416043PES_sort_dedup_realigned_recal.bam	309256346.0	309150595.0	22359546899.0	22357461254.0	40562.8978	149.0	57.154	0.0031	369.8424	99.96580474374485
S017_BJ20190416012PTS_sort_dedup_realigned_recal	S017_BJ20190416012PTS_sort_dedup_realigned_recal.bam	209990570.0	209923866.0	16003486148.0	16002058221.0	46603.8327	175.0	57.233	0.0032	264.7087	99.96823476406583
S018_BJ20190416018PTS_sort_dedup_realigned_recal	S018_BJ20190416018PTS_sort_dedup_realigned_recal.bam	205787062.0	205729506.0	15954129722.0	15952690318.0	33164.6316	182.0	57.3212	0.003	263.8923	99.97203128348274
S019_BJ20190416021PES_sort_dedup_realigned_recal	S019_BJ20190416021PES_sort_dedup_realigned_recal.bam	312644342.0	312538028.0	23663340683.0	23660894217.0	5967.5698	144.0	57.2366	0.0035	391.408	99.9659952266144
