Sample	fastp_mqc-generalstats-fastp-pct_duplication	fastp_mqc-generalstats-fastp-after_filtering_q30_rate	fastp_mqc-generalstats-fastp-after_filtering_q30_bases	fastp_mqc-generalstats-fastp-filtering_result_passed_filter_reads	fastp_mqc-generalstats-fastp-after_filtering_gc_content	fastp_mqc-generalstats-fastp-pct_surviving	fastp_mqc-generalstats-fastp-pct_adapter
S032_BJ20190424029DNA-d_gdna_wesplus_25399_S10_L002_R1_001	24.5142	0.955297	16444602336.0	120255214.0	0.495109	99.12368406341446	24.89681486425804
S033_BJ20190416100PTS-c_atdna_wesplus_24532_S17_L002_R1_001	38.277899999999995	0.951315	33467068327.0	250922624.0	0.468863	99.14012917983365	32.57166205210778
S033_BJ20190424030DNA-9_gdna_wesplus_25400_S11_L002_R1_001	25.7169	0.953005	12553538918.0	92180454.0	0.476506	99.22415232711784	26.242069184318407
S034_BJ20190416111PES-d_ffpedna_wesplus_24533_S18_L002_R1_001	37.474000000000004	0.953522	36014754047.0	269067414.0	0.485965	99.27378207900004	31.60011556262598
S034_BJ20190424031DNA-b_gdna_wesplus_25401_S12_L002_R1_001	23.6918	0.951753	16950641356.0	125061864.0	0.495635	99.08676890944078	26.876033746171814
S035_BJ20190416113PES-e_ffpedna_wesplus_24534_S19_L002_R1_001	36.2195	0.954671	28933136963.0	223532556.0	0.485284	99.16804493870151	42.48397686667946
S035_BJ20190424032DNA-f_gdna_wesplus_25402_S13_L002_R1_001	28.1545	0.956509	19276732778.0	144760544.0	0.497242	99.09699537204531	35.93944536422424
S036_BJ20190416076PTS-b_atdna_wesplus_24656_S30_L003_R1_001	34.8653	0.953173	33116788396.0	248674010.0	0.485151	99.15072811951522	33.5476826372056
S036_BJ20190416114PTS-b_atdna_wesplus_24535_S20_L002_R1_001	34.025800000000004	0.95595	27013320835.0	211915866.0	0.48047	99.2319599899721	47.6994757470289
S036_BJ20190424033DNA-d_gdna_wesplus_25403_S14_L002_R1_001	22.2271	0.955061	15524434481.0	114444828.0	0.495582	99.01894568513903	27.643845296847815
S037_BJ20190416080PTS-6_atdna_wesplus_24657_S31_L003_R1_001	32.5335	0.953168	31212800329.0	235117332.0	0.501113	99.0472450103963	32.445957344528395
S037_BJ20190416116PTS-9_atdna_wesplus_24536_S21_L002_R1_001	39.7115	0.953019	28994110791.0	243057198.0	0.502554	99.04814959411307	62.188951360840115
S037_BJ20190424034DNA-0_gdna_wesplus_25404_S15_L002_R1_001	25.381999999999998	0.953838	13440302035.0	97849964.0	0.497628	99.17249064975874	24.004681308146544
S038_BJ20190416083PES-9_ffpedna_wesplus_24658_S32_L003_R1_001	33.8888	0.957425	28253409488.0	223738834.0	0.521012	98.97752157189474	48.777472156311084
S038_BJ20190416117PES-1_ffpedna_wesplus_24537_S22_L002_R1_001	35.3207	0.950508	27890642672.0	215331880.0	0.47409	99.2134821158582	40.86872986334756
S038_BJ20190424035DNA-e_gdna_wesplus_25405_S16_L002_R1_001	23.6592	0.952068	11889115467.0	86496462.0	0.47856	99.23685002883607	23.09573904739466
S039_BJ20190416118PTS-6_atdna_wesplus_24538_S23_L002_R1_001	36.6563	0.951781	29146429526.0	223951350.0	0.478174	99.17141728620494	38.68560807029678
S039_BJ20190416137PES-b_ffpedna_wesplus_24659_S33_L003_R1_001	33.819	0.952537	32908324568.0	251426150.0	0.506584	98.96035912340474	39.523129951980486
S039_BJ20190424036DNA-b_gdna_wesplus_25406_S17_L002_R1_001	24.9717	0.955119	14139309600.0	102539004.0	0.47103	99.26418329933885	22.657054036561945
S040_BJ20190416120PTS-1_atdna_wesplus_24539_S24_L002_R1_001	34.8622	0.958554	28011673035.0	211668150.0	0.487515	99.30683532758829	37.499803889923136
S040_BJ20190416138PTS-1_atdna_wesplus_24660_S34_L003_R1_001	35.1941	0.958857	32465523360.0	251119532.0	0.483703	99.26755178659316	46.454936922294735
S040_BJ20190424037DNA-e_gdna_wesplus_25407_S18_L002_R1_001	23.4035	0.954079	12344563769.0	89436928.0	0.474038	99.26148869112662	21.68395974249016
S041_BJ20190416084PTS-3_atdna_wesplus_24661_S35_L003_R1_001	36.2974	0.95709	44780060002.0	331965506.0	0.487614	99.25481488793703	31.266997733011703
S041_BJ20190424038DNA-6_gdna_wesplus_25408_S19_L002_R1_001	25.1347	0.954193	18858609104.0	138634258.0	0.49051	99.10615754245325	27.076398957008895
